2021-02-05T14:50:10.0839373+02:00  [INF] Now listening on: "http://localhost:4000" (d826f4b8)
2021-02-05T14:50:10.0900889+02:00  [INF] Application started. Press Ctrl+C to shut down. (dcaefe54)
2021-02-05T14:50:10.0918254+02:00  [INF] Hosting environment: "Development" (c3307c92)
2021-02-05T14:50:10.0933156+02:00  [INF] Content root path: "C:\MyProjects\_github\onLib\onlinelib\Back\OnlineLib.WebService" (b5d60022)
2021-02-05T14:51:53.8241093+02:00 0HM69QJ7HUVNE:00000002 [INF] RefreshToken in successfully. (05983c22)
2021-02-05T14:52:01.9503344+02:00 0HM69QJ7HUVND:00000004 [INF] Return books (2a1116ab)
2021-02-05T14:52:05.3847716+02:00 0HM69QJ7HUVND:00000006 [INF] Return all article (5a02f3f2)
2021-02-05T14:52:05.4007950+02:00 0HM69QJ7HUVNF:00000003 [INF] Get all categories (6a70d01e)
2021-02-05T14:57:25.9055028+02:00 0HM69QJ7HUVNH:00000002 [INF] RefreshToken in successfully. (05983c22)
2021-02-05T14:57:26.0809196+02:00 0HM69QJ7HUVNI:00000002 [INF] Return all article (5a02f3f2)
2021-02-05T14:57:26.0853835+02:00 0HM69QJ7HUVNG:00000005 [INF] Get all categories (6a70d01e)
2021-02-05T15:00:03.6222240+02:00 0HM69QJ7HUVNH:00000003 [INF] RefreshToken in successfully. (05983c22)
2021-02-05T15:00:03.7914828+02:00 0HM69QJ7HUVNI:00000004 [INF] Return all article (5a02f3f2)
2021-02-05T15:00:03.7934221+02:00 0HM69QJ7HUVNG:00000008 [INF] Get all categories (6a70d01e)
2021-02-05T15:00:16.9945465+02:00 0HM69QJ7HUVNG:0000000A [INF] Get all categories (6a70d01e)
2021-02-05T15:00:25.7584560+02:00 0HM69QJ7HUVNG:0000000C [INF] Return all article (5a02f3f2)
2021-02-05T15:00:27.2230344+02:00 0HM69QJ7HUVNG:0000000E [INF] Get all categories (6a70d01e)
2021-02-05T15:00:27.2296538+02:00 0HM69QJ7HUVNI:00000005 [INF] Return all article (5a02f3f2)
2021-02-05T15:00:28.9629226+02:00 0HM69QJ7HUVNI:00000006 [INF] Get all categories (6a70d01e)
2021-02-05T15:00:43.5227036+02:00 0HM69QJ7HUVNH:00000004 [INF] RefreshToken in successfully. (05983c22)
2021-02-05T15:00:43.6880683+02:00 0HM69QJ7HUVNI:00000009 [INF] Get all categories (6a70d01e)
2021-02-05T15:01:05.6222572+02:00 0HM69QJ7HUVNH:00000005 [INF] RefreshToken in successfully. (05983c22)
2021-02-05T15:01:05.7518353+02:00 0HM69QJ7HUVNI:0000000C [INF] Get all categories (6a70d01e)
2021-02-05T15:01:50.2107179+02:00 0HM69QJ7HUVNH:00000006 [INF] RefreshToken in successfully. (05983c22)
2021-02-05T15:01:50.3386614+02:00 0HM69QJ7HUVNI:0000000F [INF] Get all categories (6a70d01e)
2021-02-05T15:02:19.9720130+02:00 0HM69QJ7HUVNH:00000007 [INF] RefreshToken in successfully. (05983c22)
2021-02-05T15:02:20.1102371+02:00 0HM69QJ7HUVNI:00000012 [INF] Get all categories (6a70d01e)
2021-02-05T15:03:41.7277678+02:00 0HM69QJ7HUVNH:00000008 [INF] RefreshToken in successfully. (05983c22)
2021-02-05T15:03:41.9233758+02:00 0HM69QJ7HUVNI:00000015 [INF] Get all categories (6a70d01e)
2021-02-05T15:03:49.0693240+02:00 0HM69QJ7HUVNH:00000009 [INF] RefreshToken in successfully. (05983c22)
2021-02-05T15:03:49.1764593+02:00 0HM69QJ7HUVNI:00000018 [INF] Get all categories (6a70d01e)
2021-02-05T15:04:12.5734397+02:00 0HM69QJ7HUVNH:0000000A [INF] RefreshToken in successfully. (05983c22)
2021-02-05T15:04:12.6814466+02:00 0HM69QJ7HUVNI:0000001B [INF] Get all categories (6a70d01e)
2021-02-05T15:04:34.3328230+02:00 0HM69QJ7HUVNH:0000000B [INF] RefreshToken in successfully. (05983c22)
2021-02-05T15:04:34.4612612+02:00 0HM69QJ7HUVNI:0000001E [INF] Get all categories (6a70d01e)
2021-02-05T15:10:46.6786458+02:00 0HM69QJ7HUVNJ:00000003 [INF] Return books (2a1116ab)
2021-02-05T15:10:47.6312512+02:00 0HM69QJ7HUVNK:00000002 [INF] Return all article (5a02f3f2)
2021-02-05T15:10:47.6525174+02:00 0HM69QJ7HUVNJ:00000006 [INF] Get all categories (6a70d01e)
2021-02-05T15:18:34.1059006+02:00 0HM69QJ7HUVNM:00000002 [INF] RefreshToken in successfully. (05983c22)
2021-02-05T15:32:34.1500889+02:00 0HM69QJ7HUVNO:00000002 [INF] RefreshToken in successfully. (05983c22)
2021-02-05T15:46:34.0860136+02:00 0HM69QJ7HUVNQ:00000002 [INF] RefreshToken in successfully. (05983c22)
2021-02-05T16:00:34.1712042+02:00 0HM69QJ7HUVNS:00000002 [INF] RefreshToken in successfully. (05983c22)
2021-02-05T16:14:34.1466623+02:00 0HM69QJ7HUVNU:00000002 [INF] RefreshToken in successfully. (05983c22)
2021-02-05T16:28:34.1569310+02:00 0HM69QJ7HUVO0:00000002 [INF] RefreshToken in successfully. (05983c22)
2021-02-05T16:42:34.1567796+02:00 0HM69QJ7HUVO2:00000002 [INF] RefreshToken in successfully. (05983c22)
2021-02-05T16:56:34.1787862+02:00 0HM69QJ7HUVO4:00000002 [INF] RefreshToken in successfully. (05983c22)
2021-02-05T17:10:34.1545197+02:00 0HM69QJ7HUVO6:00000002 [INF] RefreshToken in successfully. (05983c22)
